DATE,STAID,SOUID,TG,Q_TG
2021-12-21,13,119156,-12,0
2021-12-22,13,119156,-38,0
2021-12-23,13,119156,-18,0
2021-12-24,13,119156,17,0
2021-12-25,13,119156,37,0
2021-12-26,13,119156,23,0
2021-12-27,13,119156,25,0
2021-12-28,13,119156,43,0
2021-12-29,13,119156,59,0
2021-12-30,13,119156,64,0
2021-12-31,13,119156,48,0
2022-01-01,13,911121,25,0
2022-01-02,13,911121,28,0
2022-01-03,13,911121,38,0
2022-01-04,13,911121,74,0
2022-01-05,13,911121,66,0
2022-01-06,13,911121,8,0
2022-01-07,13,911121,-14,0
2022-01-08,13,911121,-13,0
2022-01-09,13,911121,4,0
2022-01-10,13,911121,-4,0
2022-01-11,13,911121,10,0
2022-01-12,13,911121,-5,0
2022-01-13,13,911121,-23,0
2022-01-14,13,911121,7,0
2022-01-15,13,911121,13,0
2022-01-16,13,911121,7,0
2022-01-17,13,911121,31,0
2022-01-18,13,911121,26,0
2022-01-19,13,911121,8,0
2022-01-20,13,911121,-2,0
2022-01-21,13,911121,13,0
2022-01-22,13,911121,1,0
2022-01-23,13,911121,28,0
2022-01-24,13,911121,7,0
2022-01-25,13,911121,7,0
2022-01-26,13,911121,8,0
2022-01-27,13,911121,10,0
2022-01-28,13,911121,23,0
2022-01-29,13,911121,20,0
2022-01-30,13,911121,58,0
2022-01-31,13,911121,11,0
2022-02-01,13,911121,12,0
2022-02-02,13,911121,23,0
2022-02-03,13,911121,36,0
2022-02-04,13,911121,22,0
2022-02-05,13,911121,28,0
2022-02-06,13,911121,5,0
2022-02-07,13,911121,37,0
2022-02-08,13,911121,8,0
2022-02-09,13,911121,22,0
2022-02-10,13,911121,32,0
2022-02-11,13,911121,22,0
2022-02-12,13,911121,1,0
2022-02-13,13,911121,6,0
2022-02-14,13,911121,24,0
2022-02-15,13,911121,22,0
2022-02-16,13,911121,16,0
2022-02-17,13,911121,90,0
2022-02-18,13,911121,72,0
2022-02-19,13,911121,61,0
2022-02-20,13,911121,62,0
2022-02-21,13,911121,60,0
2022-02-22,13,911121,62,0
2022-02-23,13,911121,63,0
2022-02-24,13,911121,75,0
2022-02-25,13,911121,71,0
2022-02-26,13,911121,25,0
2022-02-27,13,911121,16,0
2022-02-28,13,911121,15,0
2022-03-01,13,911121,24,0
2022-03-02,13,911121,24,0
2022-03-03,13,911121,51,0
2022-03-04,13,911121,31,0
2022-03-05,13,911121,8,0
2022-03-06,13,911121,5,0
2022-03-07,13,911121,20,0
2022-03-08,13,911121,6,0
2022-03-09,13,911121,40,0
2022-03-10,13,911121,46,0
2022-03-11,13,911121,52,0
2022-03-12,13,911121,65,0
2022-03-13,13,911121,66,0
2022-03-14,13,911121,97,0
2022-03-15,13,911121,82,0
2022-03-16,13,911121,90,0
2022-03-17,13,911121,80,0
2022-03-18,13,911121,109,0
2022-03-19,13,911121,71,0
2022-03-20,13,911121,73,0
2022-03-21,13,911121,85,0
2022-03-22,13,911121,90,0
2022-03-23,13,911121,96,0
2022-03-24,13,911121,97,0
2022-03-25,13,911121,96,0
2022-03-26,13,911121,103,0
2022-03-27,13,911121,114,0
2022-03-28,13,911121,117,0
2022-03-29,13,911121,111,0
2022-03-30,13,911121,95,0
2022-03-31,13,911121,92,0
2022-04-01,13,911121,61,0
2022-04-02,13,911121,26,0
2022-04-03,13,911121,20,0
2022-04-04,13,911121,59,0
2022-04-05,13,911121,98,0
2022-04-06,13,911121,120,0
2022-04-07,13,911121,121,0
2022-04-08,13,911121,120,0
2022-04-09,13,911121,85,0
2022-04-10,13,911121,57,0
2022-04-11,13,911121,84,0
2022-04-12,13,911121,129,0
2022-04-13,13,911121,147,0
2022-04-14,13,911121,167,0
2022-04-15,13,911121,156,0
2022-04-16,13,911121,117,0
2022-04-17,13,911121,76,0
2022-04-18,13,911121,80,0
2022-04-19,13,911121,88,0
2022-04-20,13,911121,96,0
2022-04-21,13,911121,105,0
2022-04-22,13,911121,100,0
2022-04-23,13,911121,110,0
2022-04-24,13,911121,124,0
2022-04-25,13,911121,123,0
2022-04-26,13,911121,104,0
2022-04-27,13,911121,102,0
2022-04-28,13,911121,108,0
2022-04-29,13,911121,116,0
2022-04-30,13,911121,117,0
2022-05-01,13,911121,115,0
2022-05-02,13,911121,126,0
2022-05-03,13,911121,133,0
2022-05-04,13,911121,134,0
2022-05-05,13,911121,138,0
2022-05-06,13,911121,138,0
2022-05-07,13,911121,129,0
2022-05-08,13,911121,153,0
2022-05-09,13,911121,173,0
2022-05-10,13,911121,166,0
2022-05-11,13,911121,196,0
2022-05-12,13,911121,210,0
2022-05-13,13,911121,197,0
2022-05-14,13,911121,184,0
2022-05-15,13,911121,192,0
2022-05-16,13,911121,196,0
2022-05-17,13,911121,186,0
2022-05-18,13,911121,200,0
2022-05-19,13,911121,212,0
2022-05-20,13,911121,229,0
2022-05-21,13,911121,225,0
2022-05-22,13,911121,200,0
2022-05-23,13,911121,208,0
2022-05-24,13,911121,176,0
2022-05-25,13,911121,151,0
2022-05-26,13,911121,161,0
2022-05-27,13,911121,191,0
2022-05-28,13,911121,181,0
2022-05-29,13,911121,112,0
2022-05-30,13,911121,107,0
2022-05-31,13,911121,152,0
2022-06-01,13,911121,173,0
2022-06-02,13,911121,176,0
2022-06-03,13,911121,201,0
2022-06-04,13,911121,211,0
2022-06-05,13,911121,229,0
2022-06-06,13,911121,197,0
2022-06-07,13,911121,169,0
2022-06-08,13,911121,185,0
2022-06-09,13,911121,148,0
2022-06-10,13,911121,158,0
2022-06-11,13,911121,173,0
2022-06-12,13,911121,199,0
2022-06-13,13,911121,206,0
2022-06-14,13,911121,181,0
2022-06-15,13,911121,216,0
2022-06-16,13,911121,209,0
2022-06-17,13,911121,211,0
2022-06-18,13,911121,223,0
2022-06-19,13,911121,243,0
2022-06-20,13,911121,251,0
2022-06-21,13,911121,225,0
2022-06-22,13,911121,207,0
2022-06-23,13,911121,223,0
2022-06-24,13,911121,225,0
2022-06-25,13,911121,195,0
2022-06-26,13,911121,226,0
2022-06-27,13,911121,257,0
2022-06-28,13,911121,221,0
2022-06-29,13,911121,202,0
2022-06-30,13,911121,226,0
2022-07-01,13,911121,180,0
2022-07-02,13,911121,205,0
2022-07-03,13,911121,237,0
2022-07-04,13,911121,227,0
2022-07-05,13,911121,200,0
2022-07-06,13,911121,203,0
2022-07-07,13,911121,179,0
2022-07-08,13,911121,175,0
2022-07-09,13,911121,175,0
2022-07-10,13,911121,183,0
2022-07-11,13,911121,184,0
2022-07-12,13,911121,197,0
2022-07-13,13,911121,205,0
2022-07-14,13,911121,255,0
2022-07-15,13,911121,237,0
2022-07-16,13,911121,206,0
2022-07-17,13,911121,202,0
2022-07-18,13,911121,216,0
2022-07-19,13,911121,233,0
2022-07-20,13,911121,261,0
2022-07-21,13,911121,222,0
2022-07-22,13,911121,240,0
2022-07-23,13,911121,217,0
2022-07-24,13,911121,238,0
2022-07-25,13,911121,260,0
2022-07-26,13,911121,222,0
2022-07-27,13,911121,212,0
2022-07-28,13,911121,213,0
2022-07-29,13,911121,210,0
2022-07-30,13,911121,189,0
2022-07-31,13,911121,193,0
2022-08-01,13,911121,223,0
2022-08-02,13,911121,214,0
2022-08-03,13,911121,225,0
2022-08-04,13,911121,246,0
2022-08-05,13,911121,245,0
2022-08-06,13,911121,191,0
2022-08-07,13,911121,205,0
2022-08-08,13,911121,206,0
2022-08-09,13,911121,196,0
2022-08-10,13,911121,195,0
2022-08-11,13,911121,204,0
2022-08-12,13,911121,199,0
2022-08-13,13,911121,185,0
2022-08-14,13,911121,206,0
2022-08-15,13,911121,199,0
2022-08-16,13,911121,216,0
2022-08-17,13,911121,223,0
2022-08-18,13,911121,223,0
2022-08-19,13,911121,201,0
2022-08-20,13,911121,179,0
2022-08-21,13,911121,202,0
2022-08-22,13,911121,186,0
2022-08-23,13,911121,180,0
2022-08-24,13,911121,186,0
2022-08-25,13,911121,209,0
2022-08-26,13,911121,220,0
2022-08-27,13,911121,203,0
2022-08-28,13,911121,198,0
2022-08-29,13,911121,216,0
2022-08-30,13,911121,206,0
2022-08-31,13,911121,197,0
2022-09-01,13,911121,176,0
2022-09-02,13,911121,166,0
2022-09-03,13,911121,173,0
2022-09-04,13,911121,189,0
2022-09-05,13,911121,191,0
2022-09-06,13,911121,202,0
2022-09-07,13,911121,192,0
2022-09-08,13,911121,183,0
2022-09-09,13,911121,154,0
2022-09-10,13,911121,153,0
2022-09-11,13,911121,167,0
2022-09-12,13,911121,155,0
2022-09-13,13,911121,170,0
2022-09-14,13,911121,210,0
2022-09-15,13,911121,188,0
2022-09-16,13,911121,166,0
2022-09-17,13,911121,113,0
2022-09-18,13,911121,106,0
2022-09-19,13,911121,120,0
2022-09-20,13,911121,86,0
2022-09-21,13,911121,98,0
2022-09-22,13,911121,98,0
2022-09-23,13,911121,108,0
2022-09-24,13,911121,119,0
2022-09-25,13,911121,130,0
2022-09-26,13,911121,136,0
2022-09-27,13,911121,120,0
2022-09-28,13,911121,102,0
2022-09-29,13,911121,88,0
2022-09-30,13,911121,115,0
2022-10-01,13,911121,113,0
2022-10-02,13,911121,127,0
2022-10-03,13,911121,142,0
2022-10-04,13,911121,135,0
2022-10-05,13,911121,129,0
2022-10-06,13,911121,140,0
2022-10-07,13,911121,138,0
2022-10-08,13,911121,118,0
2022-10-09,13,911121,126,0
